stage,epoch,epochs,step,iters,global_step,loss,logits_loss,aux_loss,lr,source_log
sft,1,2,6100,56608,6100,1.7033,1.7033,0.0,9.94e-06,experiments/logs/full_sft_mini.log
sft,1,2,6150,56608,6150,1.6915,1.6915,0.0,9.93e-06,experiments/logs/full_sft_mini.log
sft,1,2,6200,56608,6200,1.4888,1.4888,0.0,9.93e-06,experiments/logs/full_sft_mini.log
sft,1,2,6250,56608,6250,1.8739,1.8739,0.0,9.93e-06,experiments/logs/full_sft_mini.log
sft,1,2,6300,56608,6300,2.0989,2.0989,0.0,9.93e-06,experiments/logs/full_sft_mini.log
sft,1,2,6350,56608,6350,1.9539,1.9539,0.0,9.93e-06,experiments/logs/full_sft_mini.log
sft,1,2,6400,56608,6400,1.9498,1.9498,0.0,9.93e-06,experiments/logs/full_sft_mini.log
sft,1,2,6450,56608,6450,1.9016,1.9016,0.0,9.93e-06,experiments/logs/full_sft_mini.log
sft,1,2,6500,56608,6500,1.6775,1.6775,0.0,9.93e-06,experiments/logs/full_sft_mini.log
sft,1,2,6550,56608,6550,1.8143,1.8143,0.0,9.93e-06,experiments/logs/full_sft_mini.log
sft,1,2,6600,56608,6600,1.6489,1.6489,0.0,9.92e-06,experiments/logs/full_sft_mini.log
sft,1,2,6650,56608,6650,1.7627,1.7627,0.0,9.92e-06,experiments/logs/full_sft_mini.log
sft,1,2,6700,56608,6700,1.8105,1.8105,0.0,9.92e-06,experiments/logs/full_sft_mini.log
sft,1,2,6750,56608,6750,1.9897,1.9897,0.0,9.92e-06,experiments/logs/full_sft_mini.log
sft,1,2,6800,56608,6800,1.5905,1.5905,0.0,9.92e-06,experiments/logs/full_sft_mini.log
sft,1,2,6850,56608,6850,2.1219,2.1219,0.0,9.92e-06,experiments/logs/full_sft_mini.log
sft,1,2,6900,56608,6900,1.9826,1.9826,0.0,9.92e-06,experiments/logs/full_sft_mini.log
sft,1,2,6950,56608,6950,1.6712,1.6712,0.0,9.92e-06,experiments/logs/full_sft_mini.log
sft,1,2,7000,56608,7000,2.0358,2.0358,0.0,9.92e-06,experiments/logs/full_sft_mini.log
sft,1,2,7050,56608,7050,1.7182,1.7182,0.0,9.91e-06,experiments/logs/full_sft_mini.log
sft,1,2,7100,56608,7100,1.5546,1.5546,0.0,9.91e-06,experiments/logs/full_sft_mini.log
sft,1,2,7150,56608,7150,1.7859,1.7859,0.0,9.91e-06,experiments/logs/full_sft_mini.log
sft,1,2,7200,56608,7200,1.4591,1.4591,0.0,9.91e-06,experiments/logs/full_sft_mini.log
sft,1,2,7250,56608,7250,1.8663,1.8663,0.0,9.91e-06,experiments/logs/full_sft_mini.log
sft,1,2,7300,56608,7300,1.816,1.816,0.0,9.91e-06,experiments/logs/full_sft_mini.log
sft,1,2,7350,56608,7350,1.871,1.871,0.0,9.91e-06,experiments/logs/full_sft_mini.log
sft,1,2,7400,56608,7400,1.7035,1.7035,0.0,9.91e-06,experiments/logs/full_sft_mini.log
sft,1,2,7450,56608,7450,1.9359,1.9359,0.0,9.9e-06,experiments/logs/full_sft_mini.log
sft,1,2,7500,56608,7500,1.7306,1.7306,0.0,9.9e-06,experiments/logs/full_sft_mini.log
sft,1,2,7550,56608,7550,1.3021,1.3021,0.0,9.9e-06,experiments/logs/full_sft_mini.log
sft,1,2,7600,56608,7600,1.8991,1.8991,0.0,9.9e-06,experiments/logs/full_sft_mini.log
sft,1,2,7650,56608,7650,1.9286,1.9286,0.0,9.9e-06,experiments/logs/full_sft_mini.log
sft,1,2,7700,56608,7700,1.4792,1.4792,0.0,9.9e-06,experiments/logs/full_sft_mini.log
sft,1,2,7750,56608,7750,1.5405,1.5405,0.0,9.9e-06,experiments/logs/full_sft_mini.log
sft,1,2,7800,56608,7800,1.8863,1.8863,0.0,9.9e-06,experiments/logs/full_sft_mini.log
