stage,epoch,epochs,step,iters,global_step,loss,logits_loss,aux_loss,lr,source_log
pretrain,1,2,6350,39695,6350,2.6416,2.6416,0.0,0.00049293,experiments/logs/pretrain_mini.log
pretrain,1,2,6400,39695,6400,2.5841,2.5841,0.0,0.00049282,experiments/logs/pretrain_mini.log
pretrain,1,2,6450,39695,6450,2.7824,2.7824,0.0,0.00049271,experiments/logs/pretrain_mini.log
pretrain,1,2,6500,39695,6500,2.5725,2.5725,0.0,0.0004926,experiments/logs/pretrain_mini.log
pretrain,1,2,6550,39695,6550,2.6819,2.6819,0.0,0.00049248,experiments/logs/pretrain_mini.log
pretrain,1,2,6600,39695,6600,3.0536,3.0536,0.0,0.00049237,experiments/logs/pretrain_mini.log
pretrain,1,2,6650,39695,6650,2.9999,2.9999,0.0,0.00049225,experiments/logs/pretrain_mini.log
pretrain,1,2,6700,39695,6700,2.8276,2.8276,0.0,0.00049214,experiments/logs/pretrain_mini.log
pretrain,1,2,6750,39695,6750,2.6792,2.6792,0.0,0.00049202,experiments/logs/pretrain_mini.log
pretrain,1,2,6800,39695,6800,2.6837,2.6837,0.0,0.0004919,experiments/logs/pretrain_mini.log
pretrain,1,2,6850,39695,6850,2.4568,2.4568,0.0,0.00049178,experiments/logs/pretrain_mini.log
pretrain,1,2,6900,39695,6900,2.6619,2.6619,0.0,0.00049166,experiments/logs/pretrain_mini.log
pretrain,1,2,6950,39695,6950,2.2138,2.2138,0.0,0.00049154,experiments/logs/pretrain_mini.log
pretrain,1,2,7000,39695,7000,2.4055,2.4055,0.0,0.00049142,experiments/logs/pretrain_mini.log
pretrain,1,2,7050,39695,7050,2.6213,2.6213,0.0,0.0004913,experiments/logs/pretrain_mini.log
pretrain,1,2,7100,39695,7100,2.7873,2.7873,0.0,0.00049118,experiments/logs/pretrain_mini.log
pretrain,1,2,7150,39695,7150,2.1616,2.1616,0.0,0.00049105,experiments/logs/pretrain_mini.log
pretrain,1,2,7200,39695,7200,2.9007,2.9007,0.0,0.00049093,experiments/logs/pretrain_mini.log
pretrain,1,2,7250,39695,7250,2.1614,2.1614,0.0,0.0004908,experiments/logs/pretrain_mini.log
pretrain,1,2,7300,39695,7300,2.3106,2.3106,0.0,0.00049068,experiments/logs/pretrain_mini.log
pretrain,1,2,7350,39695,7350,2.267,2.267,0.0,0.00049055,experiments/logs/pretrain_mini.log
pretrain,1,2,7400,39695,7400,2.5443,2.5443,0.0,0.00049042,experiments/logs/pretrain_mini.log
pretrain,1,2,7450,39695,7450,2.3751,2.3751,0.0,0.00049029,experiments/logs/pretrain_mini.log
pretrain,1,2,7500,39695,7500,2.6019,2.6019,0.0,0.00049016,experiments/logs/pretrain_mini.log
pretrain,1,2,7550,39695,7550,2.491,2.491,0.0,0.00049003,experiments/logs/pretrain_mini.log
pretrain,1,2,7600,39695,7600,2.4758,2.4758,0.0,0.0004899,experiments/logs/pretrain_mini.log
pretrain,1,2,7650,39695,7650,2.322,2.322,0.0,0.00048977,experiments/logs/pretrain_mini.log
pretrain,1,2,7700,39695,7700,2.6104,2.6104,0.0,0.00048964,experiments/logs/pretrain_mini.log
pretrain,1,2,7750,39695,7750,2.6468,2.6468,0.0,0.0004895,experiments/logs/pretrain_mini.log
pretrain,1,2,7800,39695,7800,2.4141,2.4141,0.0,0.00048937,experiments/logs/pretrain_mini.log
pretrain,1,2,7850,39695,7850,3.6941,3.6941,0.0,0.00048923,experiments/logs/pretrain_mini.log
pretrain,1,2,7900,39695,7900,2.4383,2.4383,0.0,0.00048909,experiments/logs/pretrain_mini.log
pretrain,1,2,7950,39695,7950,2.3676,2.3676,0.0,0.00048896,experiments/logs/pretrain_mini.log
pretrain,1,2,8000,39695,8000,3.0287,3.0287,0.0,0.00048882,experiments/logs/pretrain_mini.log
pretrain,1,2,8050,39695,8050,2.7789,2.7789,0.0,0.00048868,experiments/logs/pretrain_mini.log
pretrain,1,2,8100,39695,8100,2.9534,2.9534,0.0,0.00048854,experiments/logs/pretrain_mini.log
pretrain,1,2,8150,39695,8150,2.2536,2.2536,0.0,0.0004884,experiments/logs/pretrain_mini.log
pretrain,1,2,8200,39695,8200,2.4642,2.4642,0.0,0.00048826,experiments/logs/pretrain_mini.log
pretrain,1,2,8250,39695,8250,2.3247,2.3247,0.0,0.00048812,experiments/logs/pretrain_mini.log
pretrain,1,2,8300,39695,8300,2.9274,2.9274,0.0,0.00048797,experiments/logs/pretrain_mini.log
pretrain,1,2,8350,39695,8350,2.5405,2.5405,0.0,0.00048783,experiments/logs/pretrain_mini.log
pretrain,1,2,8400,39695,8400,2.4105,2.4105,0.0,0.00048768,experiments/logs/pretrain_mini.log
pretrain,1,2,8450,39695,8450,2.1713,2.1713,0.0,0.00048754,experiments/logs/pretrain_mini.log
pretrain,1,2,8500,39695,8500,2.5089,2.5089,0.0,0.00048739,experiments/logs/pretrain_mini.log
pretrain,1,2,8550,39695,8550,2.494,2.494,0.0,0.00048724,experiments/logs/pretrain_mini.log
pretrain,1,2,8600,39695,8600,2.7673,2.7673,0.0,0.0004871,experiments/logs/pretrain_mini.log
pretrain,1,2,8650,39695,8650,2.3124,2.3124,0.0,0.00048695,experiments/logs/pretrain_mini.log
pretrain,1,2,8700,39695,8700,2.5248,2.5248,0.0,0.0004868,experiments/logs/pretrain_mini.log
pretrain,1,2,8750,39695,8750,2.7379,2.7379,0.0,0.00048665,experiments/logs/pretrain_mini.log
pretrain,1,2,8800,39695,8800,2.4963,2.4963,0.0,0.0004865,experiments/logs/pretrain_mini.log
pretrain,1,2,8850,39695,8850,2.7002,2.7002,0.0,0.00048634,experiments/logs/pretrain_mini.log
pretrain,1,2,8900,39695,8900,2.2788,2.2788,0.0,0.00048619,experiments/logs/pretrain_mini.log
pretrain,1,2,8950,39695,8950,3.0446,3.0446,0.0,0.00048604,experiments/logs/pretrain_mini.log
pretrain,1,2,9000,39695,9000,2.0932,2.0932,0.0,0.00048588,experiments/logs/pretrain_mini.log
pretrain,1,2,9050,39695,9050,2.4944,2.4944,0.0,0.00048573,experiments/logs/pretrain_mini.log
pretrain,1,2,9100,39695,9100,2.5333,2.5333,0.0,0.00048557,experiments/logs/pretrain_mini.log
pretrain,1,2,9150,39695,9150,2.3282,2.3282,0.0,0.00048541,experiments/logs/pretrain_mini.log
pretrain,1,2,9200,39695,9200,2.7557,2.7557,0.0,0.00048525,experiments/logs/pretrain_mini.log
pretrain,1,2,9250,39695,9250,2.4035,2.4035,0.0,0.00048509,experiments/logs/pretrain_mini.log
pretrain,1,2,9300,39695,9300,2.4263,2.4263,0.0,0.00048493,experiments/logs/pretrain_mini.log
pretrain,1,2,9350,39695,9350,1.884,1.884,0.0,0.00048477,experiments/logs/pretrain_mini.log
pretrain,1,2,9400,39695,9400,2.0685,2.0685,0.0,0.00048461,experiments/logs/pretrain_mini.log
pretrain,1,2,9450,39695,9450,2.8623,2.8623,0.0,0.00048445,experiments/logs/pretrain_mini.log
pretrain,1,2,9500,39695,9500,2.4202,2.4202,0.0,0.00048429,experiments/logs/pretrain_mini.log
pretrain,1,2,9550,39695,9550,2.4827,2.4827,0.0,0.00048412,experiments/logs/pretrain_mini.log
pretrain,1,2,9600,39695,9600,2.316,2.316,0.0,0.00048396,experiments/logs/pretrain_mini.log
pretrain,1,2,9650,39695,9650,2.3601,2.3601,0.0,0.00048379,experiments/logs/pretrain_mini.log
pretrain,1,2,9700,39695,9700,2.6294,2.6294,0.0,0.00048363,experiments/logs/pretrain_mini.log
pretrain,1,2,9750,39695,9750,2.3416,2.3416,0.0,0.00048346,experiments/logs/pretrain_mini.log
pretrain,1,2,9800,39695,9800,2.3868,2.3868,0.0,0.00048329,experiments/logs/pretrain_mini.log
pretrain,1,2,9850,39695,9850,2.6424,2.6424,0.0,0.00048312,experiments/logs/pretrain_mini.log
pretrain,1,2,9900,39695,9900,2.3986,2.3986,0.0,0.00048295,experiments/logs/pretrain_mini.log
pretrain,1,2,9950,39695,9950,2.8238,2.8238,0.0,0.00048278,experiments/logs/pretrain_mini.log
pretrain,1,2,10000,39695,10000,2.6611,2.6611,0.0,0.00048261,experiments/logs/pretrain_mini.log
pretrain,1,2,10050,39695,10050,2.4841,2.4841,0.0,0.00048244,experiments/logs/pretrain_mini.log
pretrain,1,2,10100,39695,10100,2.2898,2.2898,0.0,0.00048227,experiments/logs/pretrain_mini.log
pretrain,1,2,10150,39695,10150,2.2121,2.2121,0.0,0.00048209,experiments/logs/pretrain_mini.log
pretrain,1,2,10200,39695,10200,2.4588,2.4588,0.0,0.00048192,experiments/logs/pretrain_mini.log
pretrain,1,2,10250,39695,10250,2.4214,2.4214,0.0,0.00048174,experiments/logs/pretrain_mini.log
pretrain,1,2,10300,39695,10300,2.1464,2.1464,0.0,0.00048157,experiments/logs/pretrain_mini.log
pretrain,1,2,10350,39695,10350,2.254,2.254,0.0,0.00048139,experiments/logs/pretrain_mini.log
pretrain,1,2,10400,39695,10400,2.2605,2.2605,0.0,0.00048121,experiments/logs/pretrain_mini.log
pretrain,1,2,10450,39695,10450,2.4573,2.4573,0.0,0.00048103,experiments/logs/pretrain_mini.log
pretrain,1,2,10500,39695,10500,2.4541,2.4541,0.0,0.00048086,experiments/logs/pretrain_mini.log
pretrain,1,2,10550,39695,10550,2.504,2.504,0.0,0.00048068,experiments/logs/pretrain_mini.log
pretrain,1,2,10600,39695,10600,2.6297,2.6297,0.0,0.00048049,experiments/logs/pretrain_mini.log
pretrain,1,2,10650,39695,10650,2.4396,2.4396,0.0,0.00048031,experiments/logs/pretrain_mini.log
pretrain,1,2,10700,39695,10700,2.2291,2.2291,0.0,0.00048013,experiments/logs/pretrain_mini.log
pretrain,1,2,10750,39695,10750,2.3499,2.3499,0.0,0.00047995,experiments/logs/pretrain_mini.log
pretrain,1,2,10800,39695,10800,2.3238,2.3238,0.0,0.00047976,experiments/logs/pretrain_mini.log
pretrain,1,2,10850,39695,10850,2.1979,2.1979,0.0,0.00047958,experiments/logs/pretrain_mini.log
pretrain,1,2,10900,39695,10900,2.3243,2.3243,0.0,0.00047939,experiments/logs/pretrain_mini.log
pretrain,1,2,10950,39695,10950,2.3244,2.3244,0.0,0.00047921,experiments/logs/pretrain_mini.log
pretrain,1,2,11000,39695,11000,2.547,2.547,0.0,0.00047902,experiments/logs/pretrain_mini.log
pretrain,1,2,11050,39695,11050,2.6121,2.6121,0.0,0.00047883,experiments/logs/pretrain_mini.log
pretrain,1,2,11100,39695,11100,2.6316,2.6316,0.0,0.00047864,experiments/logs/pretrain_mini.log
pretrain,1,2,11150,39695,11150,2.5471,2.5471,0.0,0.00047845,experiments/logs/pretrain_mini.log
pretrain,1,2,11200,39695,11200,2.3943,2.3943,0.0,0.00047826,experiments/logs/pretrain_mini.log
pretrain,1,2,11250,39695,11250,2.5058,2.5058,0.0,0.00047807,experiments/logs/pretrain_mini.log
pretrain,1,2,11300,39695,11300,2.4019,2.4019,0.0,0.00047788,experiments/logs/pretrain_mini.log
pretrain,1,2,11350,39695,11350,2.3785,2.3785,0.0,0.00047768,experiments/logs/pretrain_mini.log
pretrain,1,2,11400,39695,11400,2.2267,2.2267,0.0,0.00047749,experiments/logs/pretrain_mini.log
pretrain,1,2,11450,39695,11450,2.3045,2.3045,0.0,0.0004773,experiments/logs/pretrain_mini.log
pretrain,1,2,11500,39695,11500,2.6997,2.6997,0.0,0.0004771,experiments/logs/pretrain_mini.log
pretrain,1,2,11550,39695,11550,2.3938,2.3938,0.0,0.00047691,experiments/logs/pretrain_mini.log
pretrain,1,2,11600,39695,11600,2.5192,2.5192,0.0,0.00047671,experiments/logs/pretrain_mini.log
pretrain,1,2,11650,39695,11650,1.825,1.825,0.0,0.00047651,experiments/logs/pretrain_mini.log
pretrain,1,2,11700,39695,11700,2.1441,2.1441,0.0,0.00047631,experiments/logs/pretrain_mini.log
pretrain,1,2,11750,39695,11750,2.2026,2.2026,0.0,0.00047611,experiments/logs/pretrain_mini.log
pretrain,1,2,11800,39695,11800,2.6281,2.6281,0.0,0.00047591,experiments/logs/pretrain_mini.log
pretrain,1,2,11850,39695,11850,2.9197,2.9197,0.0,0.00047571,experiments/logs/pretrain_mini.log
pretrain,1,2,11900,39695,11900,2.6713,2.6713,0.0,0.00047551,experiments/logs/pretrain_mini.log
pretrain,1,2,11950,39695,11950,2.4642,2.4642,0.0,0.00047531,experiments/logs/pretrain_mini.log
pretrain,1,2,12000,39695,12000,2.3182,2.3182,0.0,0.00047511,experiments/logs/pretrain_mini.log
pretrain,1,2,12050,39695,12050,2.5895,2.5895,0.0,0.0004749,experiments/logs/pretrain_mini.log
pretrain,1,2,12100,39695,12100,2.5634,2.5634,0.0,0.0004747,experiments/logs/pretrain_mini.log
pretrain,1,2,12150,39695,12150,2.4881,2.4881,0.0,0.00047449,experiments/logs/pretrain_mini.log
pretrain,1,2,12200,39695,12200,2.3516,2.3516,0.0,0.00047428,experiments/logs/pretrain_mini.log
pretrain,1,2,12250,39695,12250,2.1451,2.1451,0.0,0.00047408,experiments/logs/pretrain_mini.log
pretrain,1,2,12300,39695,12300,2.346,2.346,0.0,0.00047387,experiments/logs/pretrain_mini.log
